barrels08,city08,co2TailpipeGpm,comb08,cylinders,displ,drive,fuelCost08,fuelType,fuelType1,highway08,make,model,mpgData,trany,UCity,UHighway,VClass,year
low-medium,average,healthy,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,325i Sport Wagon,N,Automatic 6-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,325xi Sport Wagon,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,BMW,325xi Sport Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,C240 (Wagon),N,Manual 6-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,C240 (Wagon),N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,C240 4matic (Wagon),N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,C320 4matic (Wagon),N,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mitsubishi,Lancer Sportback,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Vibe,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Pontiac,Vibe,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Pontiac,Vibe,Y,Manual 5-spd,Green,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Pontiac,Vibe,Y,Manual 6-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Subaru,Impreza Wagon/Outback SPT AWD,Y,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Subaru,Impreza Wagon/Outback SPT AWD,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Impreza Wagon/Outback SPT AWD,N,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Impreza Wagon/Outback SPT AWD,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Aerio SX,N,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Aerio SX,Y,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Suzuki,Aerio SX AWD,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Matrix,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Matrix,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Green,Toyota,Matrix,Y,Manual 5-spd,Green,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Toyota,Matrix,Y,Manual 6-spd,Economic,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Scion,xB,Y,Automatic 4-spd,Green,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Regular,Regular Gasoline,Economic,Scion,xB,Y,Manual 5-spd,Green,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Jetta Wagon,Y,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Jetta Wagon,Y,Automatic 5-spd,Economic,Green,Station Wagon,2004
low,good,healthy,Excellent,Four,One,Front-Wheel Drive,Economy,Diesel,Diesel,Green,Volkswagen,Jetta Wagon,Y,Manual 5-spd,Green,Green,Station Wagon,2004
low-medium,good,healthy,Average,Four,One,Front-Wheel Drive,Economy,Diesel,Diesel,Green,Volkswagen,Jetta Wagon,Y,Automatic 5-spd,Green,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Jetta Wagon,N,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Volkswagen,Jetta Wagon,N,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V40,Y,Automatic 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Audi,A6 Avant quattro,N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Focus Station Wagon,N,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Average,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Focus Station Wagon,Y,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Focus Station Wagon,N,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Focus Station Wagon,Y,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Focus Station Wagon,Y,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Taurus Wagon,Y,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Taurus Wagon,Y,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mercury,Sable Wagon,N,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mercury,Sable Wagon,N,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,6 Sport Wagon,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,6 Sport Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,E320 (Wagon),Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,E320 4matic (Wagon),Y,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,E500 (Wagon),N,Automatic 7-spd,Average,Economic,Station Wagon,2004
low-medium,average,below average,Normal,Eight,Five,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Mercedes-Benz,E500 4matic (Wagon),N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-5 Wagon,N,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Saab,9-5 Wagon,N,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-5 Wagon,N,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-5 Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Saab,9-5 Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saab,9-5 Wagon,N,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,Two,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saturn,LW300,N,Automatic 4-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,Front-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Saturn,LW300,Y,Automatic 4-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Legacy/Outback Wagon AWD,Y,Automatic 4-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Legacy/Outback Wagon AWD,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,Two,4-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Subaru,Legacy/Outback Wagon AWD,N,Automatic 4-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Three,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Subaru,Legacy/Outback Wagon AWD,Y,Automatic 4-spd,Average,Economic,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon,Y,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon,N,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Four,One,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon 4motion,Y,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Four,One,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon 4motion,N,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Six,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon 4motion,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Eight,Four,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon 4motion,N,Manual 6-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Eight,Four,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volkswagen,Passat Wagon 4motion,N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 AWD,N,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 FWD,N,Manual 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 FWD,N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,healthy,Normal,Five,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 FWD,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,healthy,Normal,Five,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 FWD,N,Manual 5-spd,Economic,Green,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,Front-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 FWD,Y,Automatic 5-spd,Average,Green,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 R AWD,Y,Manual 6-spd,Average,Economic,Station Wagon,2004
low-medium,average,average,Normal,Five,Two,4-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Volvo,V70 R AWD,N,Automatic 5-spd,Average,Economic,Station Wagon,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,SSR Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 15 Hybrid 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 1500 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 1500 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 1500 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 1500 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Silverado 1500 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
medium-high,average,below average,Poor,Eight,Six,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,Chevrolet,Silverado 1500 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado 2WD,Y,Manual 5-spd,Average,Green,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado Crew Cab 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado Crew Cab 2WD,Y,Manual 5-spd,Average,Green,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Chevrolet,Colorado Crew Cab 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Dakota Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Dakota Pickup 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Dakota Pickup 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Dakota Pickup 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Ram 1500 Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Ram 1500 Pickup 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
medium-high,average,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Ram 1500 Pickup 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
medium-high,average,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Ram 1500 Pickup 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
medium-high,poor,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Dodge,Ram 1500 Pickup 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
high,poor,hazardous,Poor,Ten,Eight,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Dodge,Ram 1500 Pickup 2WD,Y,Manual 6-spd,Guzzler,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,F150 Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,F150 Pickup 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Poor,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,F150 Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,F150 Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
medium-high,poor,unhealthy,Poor,Eight,Five,Rear-Wheel Drive,Expensive,Premium,Premium Gasoline,Average,Ford,F150 Pickup 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Automatic 5-spd,Economic,Green,Pickup Truck,2004
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Manual 5-spd,Economic,Green,Pickup Truck,2004
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,N,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Ford,Ranger Pickup 2WD,Y,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 15 Hybrid 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 1500 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 1500 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 1500 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 1500 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Sierra 1500 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
medium-high,average,below average,Poor,Eight,Six,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Average,GMC,Sierra 1500 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon 2WD,N,Manual 5-spd,Average,Green,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon Crew Cab 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon Crew Cab 2WD,N,Manual 5-spd,Average,Green,Pickup Truck,2004
low-medium,average,average,Normal,Five,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,GMC,Canyon Crew Cab 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B2300 2WD,Y,Automatic 5-spd,Economic,Green,Pickup Truck,2004
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B2300 2WD,N,Manual 5-spd,Economic,Green,Pickup Truck,2004
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B3000,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B3000,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B4000 2WD,N,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Four,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Mazda,B4000 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Nissan,Frontier 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,healthy,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Nissan,Frontier 2WD,Y,Manual 5-spd,Economic,Green,Pickup Truck,2004
low-medium,average,below average,Poor,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Nissan,Frontier V6 2WD,N,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Nissan,Frontier V6 2WD,Y,Automatic 4-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Poor,Six,Three,Rear-Wheel Drive,Standard,Premium,Premium Gasoline,Economic,Nissan,Frontier V6 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,below average,Normal,Six,Three,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Nissan,Frontier V6 2WD,N,Manual 5-spd,Average,Economic,Pickup Truck,2004
medium-high,average,below average,Poor,Eight,Five,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Nissan,Titan 2WD,Y,Automatic 5-spd,Average,Economic,Pickup Truck,2004
low-medium,average,average,Normal,Four,Two,Rear-Wheel Drive,Standard,Regular,Regular Gasoline,Economic,Toyota,Tacoma 2WD,N,Automatic 4-spd,Economic,Economic,Pickup Truck,2004
